Interação,Resultado
1,1.610756000110456
2,1.588488705005141
3,1.5928643808486007
4,1.592000661786608
5,1.5921710011436552
6,1.5921374015980752
7,1.5921440289011577
8,1.5921427216976216
9,1.592142979536862
