Interação,Resultado
1,1.5
2,1.75
3,1.625
4,1.5625
5,1.59375
6,1.578125
7,1.5859375
8,1.58984375
9,1.591796875
10,1.5927734375
11,1.59228515625
12,1.592041015625
13,1.5921630859375
14,1.59210205078125
15,1.592132568359375
16,1.5921478271484375
17,1.5921401977539062
18,1.5921440124511719
19,1.592142105102539
20,1.5921430587768555
21,1.5921425819396973
22,1.5921428203582764
23,1.592142939567566
24,1.5921428799629211
25,1.5921429097652435
26,1.5921429246664047
27,1.5921429321169853
28,1.5921429358422756
29,1.5921429377049208
30,1.5921429367735982
31,1.5921429372392595
32,1.5921429370064288
33,1.5921429371228442
34,1.5921429370646365
