Interação,Resultado
1,2.5
2,2.75
3,2.625
4,2.6875
5,2.71875
6,2.703125
7,2.7109375
8,2.70703125
9,2.705078125
10,2.7060546875
11,2.70654296875
12,2.706298828125
13,2.7064208984375
14,2.70648193359375
15,2.706512451171875
16,2.7065277099609375
17,2.7065353393554688
18,2.706531524658203
19,2.7065296173095703
20,2.706528663635254
21,2.7065281867980957
22,2.7065279483795166
23,2.706528067588806
24,2.7065280079841614
25,2.706527978181839
26,2.706527963280678
27,2.706527955830097
28,2.706527952104807
29,2.706527953967452
30,2.7065279548987746
31,2.7065279544331133
32,2.706527954665944
33,2.7065279545495287
34,2.706527954491321
