Interação,Resultado
1,0.5
2,0.25
3,0.375
4,0.3125
5,0.34375
6,0.359375
7,0.3515625
8,0.35546875
9,0.357421875
10,0.3564453125
11,0.35693359375
12,0.357177734375
13,0.3572998046875
14,0.35736083984375
15,0.357391357421875
16,0.3574066162109375
17,0.35739898681640625
18,0.3574028015136719
19,0.3574047088623047
20,0.3574037551879883
21,0.3574032783508301
22,0.357403039932251
23,0.3574029207229614
24,0.3574029803276062
25,0.3574029505252838
26,0.357402965426445
27,0.3574029579758644
28,0.3574029542505741
29,0.35740295611321926
30,0.35740295704454184
31,0.35740295657888055
32,0.3574029563460499
33,0.3574029562296346
34,0.3574029561714269
