Interação,Resultado
1,2.6
2,2.6932515337423317
3,2.7049183969257933
4,2.706333486962574
5,2.706504468564353
6,2.706525118232868
7,2.7065276119801087
8,2.7065279131342495
9,2.706527949502708
10,2.706527953894694
11,2.706527954425085
12,2.706527954489138
13,2.7065279544968726
14,2.7065279544978065
15,2.7065279544979193
16,2.7065279544979335
17,2.706527954497935
18,2.7065279544979353
19,2.706527954497935
20,2.706527954497935
21,2.706527954497935
22,2.706527954497935
23,2.706527954497935
24,2.706527954497935
25,2.706527954497935
